instance,solver,rate reason-deletions,rate time,rate d-time
Nb39T6,cms55-main-all4fixed@glubreak,0,1964.74,1901.00
huck.col.11,glucose-3.0_PADC_3@default,0,1433.04,1370.97
a_rphp065_04,varisat@default,0,1540.84,1478.85
gto_p60c239,CaDiCaL@DONTUNZIP-fixed,28,680.84,618.96
mchess_15,CaDiCaL@DONTUNZIP-fixed,4,428.77,367.18
Nb52T6,expMC_LRB_VSIDS_Switch_2500@default,0,883.26,823.36
huck.col.11,Maple_LCM_Scavel_200_fix2@default,0,433.86,374.06
Nb45T6,Maple_LCM+BCrestart@default,0,624.54,566.04
Nb51T6,COMiniSatPS_Pulsar_drup@drup,0,674.92,616.43
Nb52T6,COMiniSatPS_Pulsar_drup@drup,0,774.40,717.37
dist8.c,abcdsat_r18@default,4,6583.04,6526.56
huck.col.11,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,1040.66,984.25
Nb29T6,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,356.03,301.12
Nb44T6,Maple_CM@default,0,611.20,556.79
Nb37T6,CaDiCaL@DONTUNZIP-fixed,0,674.38,620.53
Nb52T6,Maple_LCM+BCrestart@default,0,746.05,693.08
Nb27T6,Maple_LCM+BCrestart_M1@default,0,261.46,209.84
Nb29T6,smallsat@default,0,759.72,708.38
T129.2.0,CaDiCaL@DONTUNZIP-fixed,40463,1499.63,1448.80
Nb45T6,Maple_CM_ordUIP@default,0,714.78,664.42
Nb49T6,abcdsat_r18@default,0,2731.76,2681.71
Nb49T6,Maple_LCM+BCrestart_M1@default,0,687.96,638.04
gto_p60c243,glucose-3.0_PADC_10@default,27,2387.54,2338.24
gto_p60c233,abcdsat_r18@default,6,1732.30,1683.44
huck.col.11,Riss7.1-fix@BVE_DRAT,0,918.33,869.81
gto_p60c233,glucose-3.0_PADC_3@default,21,3463.87,3416.37
Nb37T6,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,561.82,514.39
Nb29T6,Maple_LCM_M1@default,0,308.70,261.98
huck.col.11,abcdsat_r18@default,0,866.80,820.74
Nb44T6,Maple_LCM+BCrestart@default,0,468.16,422.73
Nb44T6,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,672.30,627.82
uniqinv47prop,cms55-main-all4fixed@otherconf,198,1054.30,1009.97
Nb52T6,Maple_LCM_Scavel_fix2@default,0,759.83,715.86
Nb39T6,Maple_CM_Dist@default,0,516.89,473.68
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,glucose3.0@proofs,893,511.81,468.90
Nb52T6,expMC_LRB_VSIDS_Switch@default,0,958.81,915.93
T105.2.0,CaDiCaL@DONTUNZIP-fixed,42467,1184.50,1141.69
prime_119218851371,varisat@default,0,931.19,889.03
Nb39T6,Maple_CM_ordUIP+@default,0,578.11,536.44
Nb37T6,glucose-3.0_PADC_10@default,0,516.91,475.73
Nb37T6,Maple_LCM+BCrestart_M1@default,0,425.82,385.13
Nb44T6,expMC_LRB_VSIDS_Switch_2500@default,0,502.91,462.52
queen8_12.col.12,cms55-main-all4fixed@glubreak,0,497.31,457.04
sdiv15prop,abcdsat_r18@default,1,2119.28,2080.72
Nb39T6,Maple_CM_ordUIP@default,0,562.62,524.66
Nb42T6,cms55-main-all4fixed@main,0,2333.10,2295.15
Nb49T6,Maple_CM_Dist@default,0,757.35,720.14
Nb51T6,Maple_LCM_M1@default,0,818.96,781.77
e_rphp055_04,Riss7.1-fix@BVE_DRAT,30,796.57,760.33
Nb44T6,Maple_CM_ordUIP@default,0,569.55,533.32
gto_p60c241,cms55-main-all4fixed@glubreak,26,785.70,750.10
Nb44T6,expMC_VSIDS_LRB_Switch_2500@default,0,536.37,501.18
Nb27T6,smallsat@default,0,780.10,745.24
uniqinv30prop,Lingeling@default,13,283.17,248.53
Nb27T6,COMiniSatPS_Pulsar_drup@drup,0,275.34,241.09
gto_p60c234,Lingeling@default,3,348.09,313.99
a_rphp055_04,varisat@default,0,686.71,652.82
mchess_15,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,808.22,775.37
huck.col.11,Glucose_Hack_Kiel_fastBVE@default,0,1062.31,1029.47
T116.2.0,Sparrow2Riss-2018-fixfix@MAIN,12364,393.81,361.04
queen8_12.col.12,Lingeling@default,0,425.07,393.08
Nb29T6,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,304.00,273.43
Nb45T6,COMiniSatPS_Pulsar_drup@drup,0,422.25,392.25
huck.col.11,glucose4.2.1@default,0,957.80,929.48
Nb44T6,Maple_LCM_Scavel_200_fix2@default,0,625.83,598.17
Nb42T6,expMC_VSIDS_LRB_Switch_2500@default,0,493.52,466.50
gto_p60c231_1,Lingeling@default,3,234.47,207.53
Nb37T6,cms55-main-all4fixed@glubreak,0,1277.02,1250.88
e_rphp065_04,Riss7.1-fix@BVE_DRAT,56,2205.06,2179.31
prime_200560490131,Sparrow2Riss-2018-fixfix@MAIN,274,642.84,617.26
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_CM_ordUIP+@default,894,434.83,409.27
dist9.c,smallsat@default,60,1444.15,1418.94
T86.2.0,CaDiCaL@DONTUNZIP-fixed,37360,1003.22,978.17
Nb42T6,Maple_LCM+BCrestart_M1@default,0,422.75,397.90
Nb49T6,Maple_CM_ordUIP+@default,0,746.72,722.46
Nb54T6,COMiniSatPS_Pulsar_drup@drup,0,839.01,814.83
gto_p60c231_1,cms55-main-all4fixed@glubreak,20,343.76,319.80
Nb44T6,MapleLCMDistChronoBT@default,0,450.60,426.68
queen8_12.col.12,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,1063.82,1040.14
Nb49T6,Maple_LCM_M1@default,0,820.75,797.34
Nb49T6,Maple_LCM_Scavel_200_fix2@default,0,640.27,617.53
Nb39T6,glucose4.2.1@default,0,622.46,600.05
Nb29T6,Maple_LCM_Scavel_200_fix2@default,0,234.12,211.88
gto_p60c239,varisat@default,0,1047.00,1025.30
T90.2.0,CaDiCaL@DONTUNZIP-fixed,51769,1533.91,1512.63
Nb42T6,expMC_LRB_VSIDS_Switch@default,0,535.21,514.37
Problem14_label48_true-unreach-call.c,varisat@default,0,226.75,206.04
gto_p60c238,varisat@default,0,3277.72,3258.28
filter_iir_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,1544,462.82,443.41
Nb27T6,Riss7.1-fix@BVE_DRAT,907,1067.30,1048.39
T84.2.0,Lingeling@default,47,571.73,552.87
filter1_true-unreach-call.c,CaDiCaL@DONTUNZIP-fixed,782,183.44,164.79
Nb44T6,Maple_CM_Dist@default,0,478.85,460.34
T117.2.0,Riss7.1-fix@BVE_DRAT,24461,338.54,320.40
Nb45T6,Maple_LCM_Scavel_fix2@default,0,560.15,542.07
Nb39T6,expMC_LRB_VSIDS_Switch_2500@default,0,424.09,406.17
Nb39T6,Maple_LCM+BCrestart_M1@default,0,436.34,418.47
