instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,862,1.12,0.92
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_ordUIP+@default,lrat-check pending,lrat-check pending,862,1.08,1.08
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_ordUIP@default,lrat-check pending,lrat-check pending,862,1.13,1.00
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,lrat-check pending,lrat-check pending,862,60.92,65.69
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,lrat-check pending,lrat-check pending,863,131.23,141.65
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM+BCrestart@default,lrat-check pending,lrat-check pending,862,120.82,121.10
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM+BCrestart_M1@default,lrat-check pending,lrat-check pending,862,1.01,1.05
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM_M1@default,lrat-check pending,lrat-check pending,862,1.19,1.02
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_LCM_Scavel_200_fix2@default,lrat-check pending,lrat-check pending,862,212.94,210.65
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,smallsat@default,lrat-check pending,lrat-check pending,582,485.70,483.12
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Sparrow2Riss-2018-fixfix@MAIN,lrat-check pending,lrat-check pending,862,138.13,137.19
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,varisat@default,lrat-check pending,lrat-check pending,0,568.92,574.03
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,CaDiCaL@DONTUNZIP-fixed,lrat-check pending,lrat-check pending,864,0.98,1.01
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,abcdsat_r18@default,lrat-check pending,lrat-check pending,582,0.90,0.92
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@autotune,lrat-check pending,lrat-check pending,862,31.54,31.36
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,863,1.87,1.86
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,862,19.49,21.34
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,cms55-main-all4fixed@otherconf,lrat-check pending,lrat-check pending,862,12.90,12.04
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,862,17.89,18.38
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expGlucose@default,lrat-check pending,lrat-check pending,862,136.91,142.66
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expMC_LRB_VSIDS_Switch@default,lrat-check pending,lrat-check pending,865,6.94,8.05
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,expMC_VSIDS_LRB_Switch_2500@default,lrat-check pending,lrat-check pending,862,43.54,43.84
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,glucose-3.0_PADC_10@default,lrat-check pending,lrat-check pending,866,76.46,80.46
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,glucose4.2.1@default,lrat-check pending,lrat-check pending,862,125.10,120.54
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Lingeling@default,lrat-check pending,lrat-check pending,47,29.68,28.90
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM@default,lrat-check pending,lrat-check pending,862,7.05,6.53
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,862,0.94,1.06
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_ordUIP+@default,lrat-check pending,lrat-check pending,862,15.04,20.54
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_CM_ordUIP@default,lrat-check pending,lrat-check pending,862,11.98,11.98
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,lrat-check pending,lrat-check pending,862,35.15,33.64
