instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@main,0.50,0.41,0.37,0.54,58.2,58.0,17.1,66.5
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@otherconf,2.09,1.94,1.46,1.52,80.5,80.9,52.0,83.1
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,COMiniSatPS_Pulsar_drup@drup,172.21,180.24,135.71,156.95,961.3,961.4,1702.3,940.2
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expGlucose@default,14.36,16.39,10.70,11.18,192.2,192.3,230.1,179.7
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_LRB_VSIDS_Switch_2500@default,35.90,36.34,24.78,29.36,340.0,340.0,491.8,324.4
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_LRB_VSIDS_Switch@default,62.12,67.43,48.20,58.83,432.6,432.4,671.3,412.9
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,expMC_VSIDS_LRB_Switch_2500@default,48.62,52.38,40.80,43.31,383.4,383.5,596.6,363.7
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,GHackCOMSPS_drup@ghack_drup,604.43,590.46,478.34,582.40,2275.1,2274.9,4267.0,2255.5
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,glucose-3.0_PADC_3@default,85.28,82.75,64.90,75.76,579.7,579.4,989.0,558.9
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Lingeling@default,10.07,9.27,7.10,7.50,148.3,148.1,146.0,139.3
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM@default,0.97,0.89,0.65,0.84,66.4,66.5,30.9,72.0
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_Dist@default,1.12,0.92,0.62,0.86,64.9,64.6,30.1,71.5
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_ordUIP+@default,1.08,1.08,0.63,0.82,65.6,66.5,30.8,72.0
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,Maple_CM_ordUIP@default,1.13,1.00,0.77,0.87,66.4,66.5,30.9,71.8
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,60.92,65.69,51.42,52.43,475.5,475.5,761.3,455.4
